Time (s),Current (mA),Voltage (V),Power (mW),Resistance (Ohms)
0.0,0.000,0.00000,0.000, 1023
1.0,0.000,0.00000,0.000, 1023
2.0,0.000,0.00000,0.000, 1023
3.0,0.000,0.00000,0.000, 1023
4.0,0.000,0.00000,0.000, 1023
5.0,0.000,0.00000,0.000, 1023
6.0,0.000,0.00000,0.000, 1023
7.0,0.000,0.00000,0.000, 1023
8.0,0.000,0.00000,0.000, 1023
9.0,0.000,0.00000,0.000, 1023
10.0,0.000,0.00000,0.000, 1023
11.0,0.000,0.00000,0.000, 1023
12.0,0.000,0.00000,0.000, 1023
13.0,0.000,0.00000,0.000, 1023
14.1,0.000,0.00000,0.000, 1023
15.1,0.000,0.00000,0.000, 1023
16.1,0.000,0.00000,0.000, 1023
17.1,0.000,0.00000,0.000, 1023
18.1,0.000,0.00000,0.000, 1023
19.1,0.000,0.00000,0.000, 1023
20.1,0.000,0.00000,0.000, 1023
21.1,0.000,0.00000,0.000, 1023
22.1,0.000,0.00000,0.000, 1023
23.1,0.000,0.00000,0.000, 1023
24.1,0.000,0.00000,0.000, 1023
25.1,0.000,0.00000,0.000, 1023
26.1,0.000,0.00000,0.000, 1023
27.1,0.000,0.00000,0.000, 1023
28.1,0.000,0.00000,0.000, 1023
29.1,0.000,0.00000,0.000, 1023
30.1,0.000,0.00000,0.000, 1023
31.1,0.000,0.00000,0.000, 1023
32.1,0.000,0.00000,0.000, 1023
33.1,0.000,0.00000,0.000, 1023
34.1,0.000,0.00000,0.000, 1023
35.1,0.000,0.00000,0.000, 1023
36.1,0.000,0.00000,0.000, 1023
37.1,0.000,0.00000,0.000, 1023
38.1,0.000,0.00000,0.000, 1023
39.1,0.000,0.00000,0.000, 1023
40.1,0.000,0.00000,0.000, 1023
41.2,0.000,0.00000,0.000, 1023
42.2,0.000,0.00000,0.000, 1023
43.2,0.000,0.00000,0.000, 1023
44.2,0.000,0.00000,0.000, 1023
45.2,0.000,0.00000,0.000, 1023
46.2,0.000,0.00000,0.000, 1023
47.2,0.000,0.00000,0.000, 1023
48.2,0.000,0.00000,0.000, 1023
49.2,0.000,0.00000,0.000, 1023
50.2,0.000,0.00000,0.000, 1023
51.2,0.000,0.00000,0.000, 1023
52.2,0.000,0.00000,0.000, 1023
53.2,0.000,0.00000,0.000, 1023
54.2,0.000,0.00000,0.000, 1023
55.2,0.000,0.00000,0.000, 1023
56.2,0.000,0.00000,0.000, 1023
57.2,0.000,0.00000,0.000, 1023
58.2,0.000,0.00000,0.000, 1023
59.2,0.000,0.00000,0.000, 1023
60.2,0.000,0.00000,0.000, 1023
61.2,0.000,0.00000,0.000, 1023
62.2,0.000,0.00000,0.000, 1023
63.2,0.000,0.00000,0.000, 1023
64.2,0.000,0.00000,0.000, 1023
65.2,0.000,0.00000,0.000, 1023
66.2,0.000,0.00000,0.000, 1023
67.2,0.000,0.00000,0.000, 1023
68.3,0.000,0.00000,0.000, 1023
69.3,0.000,0.00000,0.000, 1023
70.3,0.000,0.00000,0.000, 1023
71.3,0.000,0.00000,0.000, 1023
72.3,0.000,0.00000,0.000, 1023
73.3,0.000,0.00000,0.000, 1023
74.3,0.000,0.00000,0.000, 1023
75.3,0.000,0.00000,0.000, 1023
76.3,0.000,0.00000,0.000, 1023
77.3,0.000,0.00000,0.000, 1023
78.3,0.000,0.00000,0.000, 1023
79.3,0.000,0.00000,0.000, 1023
80.3,0.000,0.00000,0.000, 1023
81.3,0.000,0.00000,0.000, 1023
82.3,0.000,0.00000,0.000, 1023
83.3,0.000,0.00000,0.000, 1023
84.3,0.000,0.00000,0.000, 1023
85.3,0.000,0.00000,0.000, 1023
86.3,0.000,0.00000,0.000, 1023
87.3,0.000,0.00000,0.000, 1023
88.3,0.000,0.00000,0.000, 1023
89.3,0.000,0.00000,0.000, 1023
90.3,0.000,0.00000,0.000, 1023
91.3,0.000,0.00000,0.000, 1023
